linear_acceleration.x,linear_acceleration.y,linear_acceleration.z
0,0,0
0.23819639,0.13411582,-0.051965714
-0.025782384,-0.002887845,0.024794579
0.1073202,0.007600248,0.20332909
-0.5105866,-0.1051957,0.11152363
-0.108896,-0.11725259,0.21964645
-0.1586825,-0.2826663,0.127388
-0.44304055,-0.22615,-0.19701576
0.18070596,-0.11781782,0.10985565
0.06743184,-0.2808804,0.15222359
0.20092729,-0.1824803,0.2283783
0.43114826,-0.16144362,0.10411358
0.25483978,-0.003931701,-0.17159843
-0.08392835,-0.2439259,-0.12901497
0.2344141,-0.012170851,0.035497665
0.11008826,-0.15830064,-0.33810997
0.3791711,0.112403095,0.1299696
0.24860837,0.09548545,0.10021305
0.058414377,-0.016040444,-0.031250954
0.15894642,-0.10277158,-0.20212936
0.0163116,-0.003443599,-0.042675972
0.3167051,0.083116055,-0.16404247
0.14325029,0.044852614,-0.13416958
-0.18136787,-0.1939168,-0.19221973
0.20516606,-0.021207094,-0.1146431
-0.28953534,-0.09523308,-2.80E-04
0.25790617,0.11844313,-0.002288818
0.20527124,0.34396172,-0.19474411
-0.10159807,0.41425824,0.30848694
-0.4698731,0.038460374,-0.11614418
-0.34663218,-0.08499491,-0.019241333
0.3740319,0.33384824,-0.043655396
0.40181297,0.11426008,0.23111916
0.22905305,-0.104981124,0.30497646
0.45283484,-0.22092485,0.08511543
-0.5353341,-0.5616344,-0.03820896
-0.21997768,-0.48304123,-0.041671753
0.5148337,-0.35938627,-0.27450657
0.25957033,-0.30945492,0.06386089
0.3165774,-0.23443165,-0.04906559
-0.044178367,-0.08140001,0.3360281
-0.006333143,-0.20605591,0.26222992
0.07641742,-0.20398861,-0.22161865
0.58077013,0.12469685,0.08951187
-0.07766116,-0.07659626,0.11457443
0.4677775,0.07946041,0.14234352
0.6956471,-0.022432089,-0.18425274
-0.44978762,0.0905613,-0.3195219
0.2602617,0.26418433,0.20809841
-0.18997619,0.119164795,-0.3007059
0.17921954,0.39543444,0.19035149
0.31105047,0.3210354,-0.208148
-0.39399135,0.22335368,0.06633282
0.12587404,0.29573184,0.19005775
-0.20210156,0.013672709,-0.24860859
0.37836692,0.30492413,-0.026353836
0.12010297,0.15589958,-0.3035841
0.06561124,0.054285586,0.07588291
-0.13259462,0.013589621,-0.13000774
-0.21973658,-0.014662981,-0.46330833
0.16466582,0.14631593,0.40345287
0.14916104,-0.060555696,0.29247665
0.21355301,-0.14919603,-0.2064333
0.07936934,-0.04403454,0.13085938
0.084831536,-0.09525508,-0.060284615
-0.44638592,-0.33444297,-0.24856949
0.13150117,-0.128636,0.18582821
0.08496156,-0.21968377,0.05367279
0.14359781,-0.22245944,-0.10096264
0.2212337,0.051314414,0.239604
0.24567099,-0.034905493,0.034731865
0.19456536,0.013670385,0.08425999
0.0791895,0.07098776,0.23743916
0.17661971,-0.054015696,0.04645157
0.3557945,0.064540386,-0.02938366
0.35824808,0.06670785,0.036351204
0.30228812,0.11780387,0.2631359
0.32232937,-0.0210855,-0.017461777
0.19377358,3.24E-04,-0.11429691
0.035553813,0.027544439,-0.36050224
0.15486336,0.06131363,-0.09808636
0.15407564,0.10075128,-0.06362343
-0.015180588,4.41E-04,-0.009213448
0.5034661,0.15452349,-0.016854286
0.057730228,0.22330469,0.26896954
0.282488,-0.043094754,-0.003358841
0.056334227,-0.062663436,0.14211369
-0.014174789,0.04098046,-0.04089737
-0.081251204,0.18404156,-0.072244644
-0.25888994,0.001856864,0.04556179
0.56504035,0.19236553,0.09106827
0.20181537,0.2088803,-0.19878769
0.4000257,0.2001946,0.070002556
0.4411924,0.14443284,-0.035118103
-0.30880398,-0.024305195,-0.35330105
0.0344899,0.12968248,0.4289732
0.007958263,-0.13559362,-0.08798504
-0.2578203,-0.08287904,-0.002518654
0.07073766,-0.07823625,-0.48007965
0.14143717,0.17333892,0.48865986
0.2791951,0.070350766,-0.15114307
0.17694509,0.026206076,0.10437679
0.37270015,0.058566928,-0.060144424
0.365718,-0.03839928,0.08081722
0.4876191,-0.068038404,0.18309689
0.010581315,0.039519608,0.29056644
0.323871,0.098938644,0.2565832
0.13474518,0.1324572,0.36438942
0.0982303,0.12423825,0.12762356
-0.3314943,0.06846678,0.42298317
0.1589874,0.021761596,-0.32226944
0.3440543,0.287822,0.10597038
0.04500866,0.05845344,-0.023982048
-0.18457091,0.026101172,-0.37345314
-0.048443496,0.33909696,0.26610374
